id,title,price,base_price,original_price,initial_quantity,buying_mode,listing_type_id,condition,accepts_mercadopago,shipping_mode,local_pick_up,free_shipping,logistic_type,store_pick_up,city_name,state_name,country_name,status,warranty,date_created,last_updated,health
MLA1398845395,Google Home Mini Con Asistente Virtual Chalk 110v/220v Ref,55990,55990,,999,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-12T20:12:54.000Z,2024-09-29T03:38:07.843Z,0.8
MLA1444314171,Apple Tv 4k (wifi + Ethernet) De Voz 3.ª Gener 4k  Negro,432000,432000,,1,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,Los Polvorines,Buenos Aires,Argentina,active,Garantía de fábrica: 12 meses,2024-08-19T02:25:12.169Z,2024-09-02T15:20:55.818Z,0.88
MLA1597677282,Parlante Google Home Mini Asistente Virtual Wifi Refabricado,89990,89990,,999,buy_it_now,gold_pro,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-13T16:12:34.000Z,2024-10-11T03:34:28.350Z,0.9
MLA1398793543,Google Home Mini Con Asistente Virtual Google Assistant Ref,69990,69990,,999,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-12T20:12:50.000Z,2024-10-16T03:08:03.127Z,0.8
MLA1931246390,Apple Tv 4k (wi-fi + Ethernet) 4k 128gb Entrego En Córdoba,370000,370000,,1,buy_it_now,gold_special,used,True,me2,False,False,drop_off,False,Córdoba,Córdoba,Argentina,active,Garantía del vendedor: 6 meses,2024-10-09T14:48:56.535Z,2024-10-15T12:13:26.200Z,0.62
MLA1440621335,Amazon Fire Tv Stick 4k Ultra Hd Hdr Wifi 6 Version 2023,117999,117999,,17,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2024-08-02T15:18:37.679Z,2024-10-15T13:12:55.061Z,1
MLA1447414004,Amazon Fire Tv Stick 4k 8gb 1.5gb Ram Streaming Control Voz,78800,78800,,21,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,San Cristobal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-07-11T18:35:07.000Z,2024-10-14T15:54:23.741Z,0.9
MLA1376571411,Amazon Fire Tv Stick Lite 2ª Generación Full Hd 1gb Ram Color Negro,84899,84899,,26,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-07-10T21:59:03.000Z,2024-10-16T14:27:23.361Z,
MLA1930441108,Google Home Max Asistente Virtual Google Assistant Charcoal,590000,590000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Villa Santa Rita,Capital Federal,Argentina,active,Sin garantía,2024-10-08T15:28:35.093Z,2024-10-10T05:37:06.801Z,0.62
MLA1453518479,"Tv Box, Android 13.1, 4k Ultra Hd, 8 Ram 256 Rom",75000,75000,,13,buy_it_now,gold_special,new,True,me2,False,True,xd_drop_off,False,Glew,Buenos Aires,Argentina,active,Garantía de fábrica: 30 días,2024-10-03T22:28:56.152Z,2024-10-16T14:34:38.436Z,0.81
MLA1930440916,Google Home Max Asistente Virtual Google Assistant Charcoal,720000,720000,,1,buy_it_now,gold_pro,used,True,me2,False,False,xd_drop_off,False,Villa Santa Rita,Capital Federal,Argentina,active,Sin garantía,2024-10-08T15:21:11.794Z,2024-10-10T05:37:06.042Z,0.75
MLA1835368668,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb 2nda Generación Wi-fi 6e Color Negro Tipo De Control Remoto Estándar,125199,125199,,104,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2024-07-05T11:58:45.065Z,2024-10-16T14:50:46.338Z,
MLA1597677284,Parlante Google Home Mini Google Assistant Wifi Refabricado,79990,79990,,999,buy_it_now,gold_pro,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-13T16:12:38.000Z,2024-09-29T03:14:37.809Z,0.9
MLA1877356464,Apple Tv 2 3.ª Gen. Full Hd 1gb Ram 8gb.,45000,45000,,1,buy_it_now,gold_pro,used,True,me2,True,False,xd_drop_off,False,Barrio norte,Capital Federal,Argentina,active,Sin garantía,2024-08-08T21:50:31.328Z,2024-10-10T13:25:03.742Z,0.66
MLA1454766461,Parlante Asistente De Voz Google Nest Mini/2da Gen/bt/gris,85000,85000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,San Fernando,Buenos Aires,Argentina,active,Sin garantía,2024-10-11T20:00:39.467Z,2024-10-11T20:00:42.132Z,0.62
MLA1899194696,Apple Tv 2a Generación Full Hd,60000,60000,,1,buy_it_now,free,used,True,me2,True,True,xd_drop_off,False,Capital Federal - Belgrano,Capital Federal,Argentina,active,Sin garantía,2024-09-02T00:57:52.927Z,2024-09-07T12:49:12.205Z,0.62
MLA1447484205,Smarter Kanji Convertidor De Led A Smart Tv 4k Kj-smart4kplu,92679.0,92679.0,,141,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Villa Urquiza,Capital Federal,Argentina,active,Garantía de fábrica: 6 meses,2024-09-02T18:18:38.356Z,2024-10-16T03:20:23.389Z,0.9
MLA1925114644,Apple Tv Hd A1625 4ta Gen 32gb,150000,150000,,1,buy_it_now,gold_special,used,True,me2,False,False,drop_off,False,Florencio Varela,Buenos Aires,Argentina,active,Sin garantía,2024-10-02T13:01:28.439Z,2024-10-12T20:05:32.701Z,0.62
MLA1384134643,Google Home Mini Versión Bulk/ Sin Caja/ Cargador Original!,85995,85995,,45,buy_it_now,gold_special,new,True,me2,False,True,xd_drop_off,False,Martin Coronado,Buenos Aires,Argentina,active,Garantía del vendedor: 30 días,2023-08-21T14:52:21.000Z,2024-10-16T14:54:55.327Z,0.7
MLA1373073449,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,84399,84399,,124,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,San Cristóbal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-06-12T19:45:05.000Z,2024-10-16T01:17:04.354Z,1
MLA1913427140,Apple Tv A1427  3.a Generación Full Hd 8gb Negro,80000,80000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Villa del Parque,Capital Federal,Argentina,active,Sin garantía,2024-09-19T13:25:42.648Z,2024-10-08T23:55:00.382Z,0.62
MLA1932716042,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,94999,94999,,10,buy_it_now,gold_pro,new,True,me2,False,True,drop_off,False,Ciudad Evita,Buenos Aires,Argentina,active,Sin garantía,2024-10-10T22:43:30.374Z,2024-10-16T05:42:40.633Z,
MLA1440239591,Fire Tv Stick Convertidor Amazon Smart Netflix Streaming Hd,127839,127839,,7,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,Balvanera,Capital Federal,Argentina,active,Garantía del vendedor: 30 días,2024-07-31T14:36:07.000Z,2024-10-14T12:16:03.698Z,0.81
MLA1912349196,"Control Remoto Por Voz Amazon Fire Tv Stick Lite De 8 Gbde Voice Full Hd, 1 Gb De Memoria Ram, Color Negro",69999,69999,,10,buy_it_now,gold_special,new,True,me2,True,True,drop_off,False,Villa Nueva,Córdoba,Argentina,active,Garantía del vendedor: 1 meses,2024-09-18T03:28:37.766Z,2024-10-13T23:07:09.015Z,
MLA1905654296,Apple Tv 3a Gen A1469 32gb 8gb Ram Full Hd Hdmi,54000,54000,,1,buy_it_now,free,used,True,me2,False,False,xd_drop_off,False,Martínez,Buenos Aires,Argentina,active,Sin garantía,2024-09-09T18:42:01.051Z,2024-09-25T14:21:04.039Z,0.62
MLA1372865557,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,84399,84399,,90,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,San Cristóbal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-06-09T18:48:46.000Z,2024-10-16T14:36:22.642Z,1
MLA1102146000,Amazon Fire Tv Stick De Voz 2.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,75999,75999,,15,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,Vicente López,Buenos Aires,Argentina,active,Sin garantía,2021-09-07T21:24:56.000Z,2024-10-13T03:47:26.116Z,
MLA1820484428,Google Home Mini Con Asistente Virtual Charcoal 110v/220v,89999,89999,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Capital federal,Capital Federal,Argentina,active,Sin garantía,2024-06-23T18:50:26.701Z,2024-10-09T07:07:14.128Z,0.62
MLA1399520644,Apple Tv 4k 32gb A1842 Negro (usado),400000,400000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Núñez,Capital Federal,Argentina,active,Sin garantía,2023-04-18T19:13:13.000Z,2024-10-09T10:26:11.454Z,0.62
MLA1398755255,Google Home Mini Google Assistant Chalk 110v/220v Ref,55990,55990,,999,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-12T20:12:52.000Z,2024-09-29T03:01:30.389Z,0.8
MLA1341285993,Amazon Fire Tv Stick Hd 8gb Hdr Dolby 1080p Imp Control Voz,86799,86799,,34,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-02-09T19:53:47.000Z,2024-10-16T14:07:08.445Z,1
MLA1402038222,Convertidor Roku Premiere 4k Hdr Streaming + Control Remoto Color Blanco Tipo De Control Remoto Estándar,62000,62000,,425,buy_it_now,gold_special,new,True,me2,True,True,cross_docking,False,San Cristóbal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-04-21T18:17:33.000Z,2024-10-16T12:23:43.845Z,
MLA1113758168,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",379990,379990,,139,buy_it_now,gold_special,new,True,me2,False,True,fulfillment,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2021-11-25T16:46:13.000Z,2024-10-16T03:20:30.728Z,
MLA1935957230,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido Color Negro,137900,137900,,3,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,Olivos,Buenos Aires,Argentina,active,Garantía del vendedor: 6 meses,2024-10-15T21:33:36.432Z,2024-10-16T12:47:38.008Z,
MLA1438269735,Roku Express 4k Streaming Tv Uhd Hdr Con Control Remoto 3940 1gb De Memoria Ram Negro,119999,119999,,308,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,Parque Patricios,Capital Federal,Argentina,active,Garantía de fábrica: 12 meses,2024-07-18T15:00:56.987Z,2024-10-16T13:57:43.593Z,
